Margin D,% Home Ownership,% Married Couples,% Poverty,% Bachelor's Degree or Higher,% Less than High School,% Non-Hispanic White,% Black,% Native,% Asian,% Hispanic,% Foreign Born
-16.26,75.2521,57.2445,22.717,14.1221,18.4891,53.6482,39.8409,0.1383,0.0593,4.8659,3.4382
-17.38,62.2791,48.1504,24.4313,23.733,15.0326,56.0166,36.5824,0.564,2.202,2.25,4.245
-58.65,76.649,59.2064,16.9294,16.5251,20.3664,75.2947,19.6715,0.1678,0.2075,2.9496,1.2938
6.39,60.1797,52.6937,20.6997,17.8237,16.1793,46.0657,43.4118,0.264,0.8731,5.4908,3.6617
-40.39,79.8945,70.1854,12.2084,16.0849,15.4467,85.8698,9.5671,0.3455,0.799,2.4242,1.5968
-63.95,80.5262,72.3018,7.4845,42.9294,7.3288,77.8655,12.0249,0.2619,2.0611,5.7199,5.6116
48.48,64.0715,37.0143,31.7628,21.5628,13.3037,24.8105,71.9153,0.0703,2.1411,0.5314,1.6488
-25.51,71.2916,54.152,19.0581,14.9608,19.6703,62.627,32.3709,0.4254,0.6145,2.2914,1.5301
-43.37,74.8596,59.328,18.8754,18.4428,19.3463,68.8735,26.9702,0.222,0.3577,2.4198,1.4652
-14.81,63.746,54.6096,17.6579,30.7308,11.6508,61.5484,31.8917,0.1602,1.6087,3.7153,3.7833
-67.91,77.2493,62.4956,18.1484,11.3438,18.1792,88.9471,6.166,0.1529,0.4882,2.4879,1.4849
-48.51,82.6544,61.3438,21.1174,12.6653,17.3718,64.9477,23.5415,7.3091,0.2539,1.457,2.7145
37.53,67.9035,38.3988,30.0522,12.4965,23.5451,26.8421,69.3755,0.0936,0.0281,0.5337,0.6179
-81.72,79.4099,62.9693,17.6322,12.8293,21.1879,93.6974,0.7316,0.3406,0.1556,3.1534,1.501
33.61,78.8901,47.2917,35.4573,12.3006,19.5978,18.2098,0.5216,73.1146,0.344,6.3361,1.4054
-19.49,68.9293,61.1986,16.61,23.1096,12.6165,54.9914,3.6705,0.9073,1.9314,35.4549,10.7486
23.96,61.0407,53.7076,17.603,36.1603,9.48,54.0517,1.1156,25.762,1.8673,14.108,4.4276
-34.02,75.5571,54.8903,21.5934,18.7338,13.674,62.253,0.6499,16.074,0.7862,18.7465,3.5409
-44.68,70.2641,59.229,22.5986,15.1523,14.7431,50.858,1.8239,12.525,0.6316,33.0114,3.0372
-33.85,48.6271,63.7357,13.3078,13.5121,11.9406,46.6184,2.0479,3.5812,0.5461,46.7969,2.3419
-38.71,71.5386,54.9006,22.435,12.0102,23.0611,57.3991,0.8801,11.4991,0.7262,27.5814,9.6667
2.17,62.1928,58.8385,13.7696,32.6981,12.2741,55.241,5.3141,1.6173,4.0897,30.9914,14.8292
-51.21,69.2746,56.7117,16.3835,12.9458,13.9326,77.2907,0.9962,1.9967,1.0727,16.4472,6.0348
-8.23,68.7825,53.9325,27.9026,15.2542,16.6182,41.2821,0.7395,43.5261,0.5885,11.4203,2.9121
18.62,63.1708,54.8842,16.8149,32.3832,11.6155,51.7333,3.2592,2.4544,2.7931,37.2452,12.9705
-17.24,76.7176,63.2809,13.1503,19.5321,14.233,56.7877,4.0839,4.3014,1.5772,30.1555,9.0443
35.47,67.6528,62.8403,23.2632,20.4321,23.4011,14.8537,0.2367,0.2238,0.8326,83.4617,33.139
-29.19,71.9828,61.9425,13.0348,25.8774,8.9507,80.4575,0.6244,1.2676,0.9239,14.5422,6.1714
-6.17,67.099,64.0378,19.4336,15.0261,26.747,30.9723,1.6795,0.9228,1.1945,63.7563,26.2947
-39.51,65.1849,57.4383,17.3454,15.7691,16.0911,69.7611,25.8792,0.1675,0.0447,3.193,0.8094
